opti_insts_num,avail_sites_num,utilization,logic_area_length,logic_area_width,net_count,max_degree,avg_degree,logic_depth,alpha
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,10.399999999999991
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,9.399999999999995
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,9.199999999999996
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,10.0
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,9.799999999999994
16,40,0.32653061224489793,7,7,300,0,0.0,0.5,16.599999999999987
16,40,0.32653061224489793,7,7,300,0,0.0,0.5,16.799999999999986
16,40,0.32653061224489793,7,7,300,0,0.0,0.5,14.799999999999994
16,40,0.32653061224489793,7,7,300,0,0.0,0.5,15.0
16,40,0.32653061224489793,7,7,300,0,0.0,0.5,15.199999999999992
11,28,0.3055555555555556,6,6,217,0,0.0,0.5,5.0
11,28,0.3055555555555556,6,6,217,0,0.0,0.5,5.200000000000002
11,28,0.3055555555555556,6,6,217,0,0.0,0.5,5.400000000000002
11,28,0.3055555555555556,6,6,217,0,0.0,0.5,6.000000000000003
11,28,0.3055555555555556,6,6,217,0,0.0,0.5,6.200000000000003
40,60,0.4,10,10,963,0,0.0,0.5,10.59999999999999
40,60,0.4,10,10,963,0,0.0,0.5,10.399999999999991
40,60,0.4,10,10,963,0,0.0,0.5,8.799999999999997
40,60,0.4,10,10,963,0,0.0,0.5,10.79999999999999
40,60,0.4,10,10,963,0,0.0,0.5,10.199999999999992
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,10.399999999999991
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,9.399999999999995
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,9.199999999999996
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,10.0
56,84,0.3888888888888889,12,12,938,0,0.0,0.5,9.799999999999994
100,144,0.390625,16,16,812,0,0.0,1.0663144504558943,28.799999999999997
100,144,0.390625,16,16,812,0,0.0,1.0663144504558943,29.599999999999994
100,144,0.390625,16,16,812,0,0.0,1.0663144504558943,30.199999999999992
